KEY_CODE,人口総数,小地域,男,女,世帯総数
27144007007,429,堺市西区鳳中町７丁,195,234,184
27144007008,1094,堺市西区鳳中町８丁,523,571,469
27144007009,999,堺市西区鳳中町９丁,493,506,500
27144007010,1243,堺市西区鳳中町１０丁,623,620,531
271440080,5684,堺市西区鳳西町,2803,2881,2428
27144008001,2715,堺市西区鳳西町１丁,1335,1380,1187
27144008002,1735,堺市西区鳳西町２丁,868,867,737
27144008003,1234,堺市西区鳳西町３丁,600,634,504
271440090,5495,堺市西区鳳東町,2617,2878,2413
27144009001,162,堺市西区鳳東町１丁,78,84,117
27144009002,367,堺市西区鳳東町２丁,171,196,179
27144009003,358,堺市西区鳳東町３丁,161,197,153
27144009004,436,堺市西区鳳東町４丁,208,228,236
27144009005,774,堺市西区鳳東町５丁,360,414,350
27144009006,1641,堺市西区鳳東町６丁,782,859,628
27144009007,1757,堺市西区鳳東町７丁,857,900,750
271440100,8508,堺市西区鳳南町,4075,4433,3154
27144010001,211,堺市西区鳳南町１丁,95,116,90
27144010002,863,堺市西区鳳南町２丁,410,453,359
27144010003,3669,堺市西区鳳南町３丁,1778,1891,1292
27144010004,287,堺市西区鳳南町４丁,124,163,136
27144010005,3478,堺市西区鳳南町５丁,1668,1810,1277
271440110,6808,堺市西区上,3291,3517,2642
271440120,10740,堺市西区草部,5162,5578,4293
271440130,2890,堺市西区神野町,1399,1491,1166
27144013001,1306,堺市西区神野町１丁,633,673,514
27144013002,866,堺市西区神野町２丁,426,440,353
27144013003,718,堺市西区神野町３丁,340,378,299
271440150,2662,堺市西区下田町,1291,1371,941
271440160,1009,堺市西区太平寺,437,572,281
271440170,-,堺市西区築港新町,-,-,-
27144017001,-,堺市西区築港新町１丁,-,-,-
27144017002,-,堺市西区築港新町２丁,-,-,-
27144017003,-,堺市西区築港新町３丁,-,-,-
27144017004,-,堺市西区築港新町４丁,-,-,-
271440180,1,堺市西区築港浜寺町,1,-,1
271440190,-,堺市西区築港浜寺西町,-,-,-
271440200,5454,堺市西区津久野町,2552,2902,2523
27144020001,2842,堺市西区津久野町１丁,1295,1547,1376
27144020002,1264,堺市西区津久野町２丁,594,670,552
27144020003,1348,堺市西区津久野町３丁,663,685,595
271440210,982,堺市西区鶴田町,482,500,385
271440220,5654,堺市西区浜寺石津町中,2756,2898,2493
27144022001,1166,堺市西区浜寺石津町中１丁,599,567,476
27144022002,1422,堺市西区浜寺石津町中２丁,709,713,653
27144022003,1142,堺市西区浜寺石津町中３丁,574,568,527
27144022004,999,堺市西区浜寺石津町中４丁,460,539,428
27144022005,925,堺市西区浜寺石津町中５丁,414,511,409
271440230,3384,堺市西区浜寺石津町西,1772,1612,1579
27144023001,180,堺市西区浜寺石津町西１丁,68,112,38
27144023002,269,堺市西区浜寺石津町西２丁,175,94,148
27144023003,246,堺市西区浜寺石津町西３丁,133,113,144
27144023004,2186,堺市西区浜寺石津町西４丁,1143,1043,1079
27144023005,503,堺市西区浜寺石津町西５丁,253,250,170
271440240,5121,堺市西区浜寺石津町東,2598,2523,2183
27144024001,435,堺市西区浜寺石津町東１丁,242,193,185
27144024002,637,堺市西区浜寺石津町東２丁,339,298,300
27144024003,1191,堺市西区浜寺石津町東３丁,587,604,576
27144024004,1292,堺市西区浜寺石津町東４丁,634,658,547
27144024005,1566,堺市西区浜寺石津町東５丁,796,770,575
271440250,884,堺市西区浜寺公園町,419,465,322
27144025001,247,堺市西区浜寺公園町１丁,117,130,72
27144025002,324,堺市西区浜寺公園町２丁,152,172,123
27144025003,313,堺市西区浜寺公園町３丁,150,163,127
271440260,3238,堺市西区浜寺昭和町,1505,1733,1202
27144026001,891,堺市西区浜寺昭和町１丁,420,471,337
27144026002,746,堺市西区浜寺昭和町２丁,358,388,286
27144026003,523,堺市西区浜寺昭和町３丁,249,274,178
27144026004,428,堺市西区浜寺昭和町４丁,195,233,152
27144026005,650,堺市西区浜寺昭和町５丁,283,367,249
